,Company,Location,Year,Fuel,Miles,Gear,Price,Name,Brand,Model,Engine Volume,Horsepower
7442,,Örebro,2021,Bensin,1890,Automat,399900,Mercedes-Benz AMG A 35 4MATIC 306hk Panorama Burmester,Mercedes-Benz,AMG A,Unknown,306
7443,,Örebro,2020,Diesel,3550,Automat,339500,Mercedes-Benz A 220 d 4MATIC AMG Sport 190hk GPS + Kamera,Mercedes-Benz,A 220,Unknown,190
7444,,Örebro,2019,Diesel,11600,Automat,319500,Mercedes-Benz E 220 d AMG Sport 194HK Widescreen Värmare Dra,Mercedes-Benz,E 220,Unknown,194
7445,,Örebro,2017,Diesel,13300,Automat,187900,BMW 520 d xDrive Touring Skinn Drag SportStolar,BMW,520 d,Unknown,Unknown
7446,,Östergötland,2017,Diesel,12951,Automat,228900,Volvo V60 Cross Country Polestar D4 AWD Summum VOC Taklucka,Volvo,V60 Cross,4,Unknown
7447,,Östergötland,2016,Diesel,11935,Automat,179800,BMW 520 d xDrive Touring HiFi Sensorer Rattvärm Drag Välserv,BMW,520 d,Unknown,Unknown
7448,,Östergötland,2014,Bensin,13106,Manuell,84700,Peugeot 208 VTi 120hk Panorama Värm Skinn Sensorer Välservad,Peugeot,208 VTi,Unknown,120
7449,,Älvsborg,2016,Diesel,12300,Manuell,169000,Volvo V60 D3 150HK / NAVI / DRAG / VÄRMARE,Volvo,V60 D3,Unknown,150
7450,,Jönköping,2013,Diesel,8788,Manuell,99900,Nissan Qashqai 1.6 dCi 1 brukare Euro 5,Nissan,Qashqai 1,Unknown,Unknown
7451,,Älvsborg,2007,Bensin,16600,Manuell,39000,Kia Rio 1.4 97HK 5D / EN ÄGARE / 16600Mil,Kia,Rio 1,Unknown,97
7452,,Älvsborg,2004,Bensin,11600,Manuell,49000,BMW 318 i 143HK E46 SEDAN / 11600Mil,BMW,318 i,Unknown,143
7453,,Stockholm,2021,Bensin,6280,Automat,313900,Mercedes-Benz CLA 200 SB 163hk AMG Wide Kamera Navi Drag,Mercedes-Benz,CLA 200,Unknown,163
7454,,Örebro,2016,Bensin,10100,Manuell,139900,BMW 220 i Active Tourer Sport Line (192hk),BMW,220 i,Unknown,192
7455,,Stockholm,2017,Diesel,10216,Manuell,1,Nissan NV 400,Nissan,NV 400,Unknown,Unknown
7456,,Stockholm,2011,Bensin,8570,Manuell,109000,Citroën DS3 Racing 1.6 THP 207HK HiFi Sportstolar P-Sensorer,Citroën,DS3 Racing,Unknown,207
7457,,Södermanland,2006,Diesel,19008,Automat,44900,Volkswagen Caddy 1.9 TDI Automat Ny Servad Besiktad 105HK,Volkswagen,Caddy 1,1.9,105
7458,,Skåne,2021,Bensin,4790,Automat,359000,Seat Formentor CUPRA 2.0 TSI 4Drive 310hk,Seat,Formentor CUPRA,2.0,310
7460,,Stockholm,2016,Diesel,10150,Automat,249700,BMW 420 D XDRIVE GRAN COUPÉ 190HK M-SPORT H/K® TAKLUCKA DRAG,BMW,420 D,Unknown,190
7461,,Stockholm,2018,Diesel,12477,Automat,309700,BMW 520 D XDRIVE TOURING 190HK INNOVATION M-SPORT H/K® DRAG,BMW,520 D,Unknown,190
7462,,Stockholm,2018,Diesel,8493,Automat,214000,Jaguar XF 20D 180HK EURO 6 DIESELVÄRMARE PSENS EL-STOLAR,Jaguar,XF 20D,Unknown,180
7463,,Stockholm,2018,Bensin,7154,Automat,388700,BMW 440 i XDRIVE STEPTRONIC M SPORT 326HK HUD H/K® DRAG NAVI,BMW,440 i,Unknown,326
7464,,Stockholm,2021,Miljöbränsle/Hybrid,4594,Automat,399700,BMW 330e XDRIVE STEPTRONIC PLUG-IN 292HK M-SPORT H/K® DRAG,BMW,330e XDRIVE,Unknown,292
7465,,Stockholm,2020,Miljöbränsle/Hybrid,5064,Automat,849700,Porsche Panamera 4 E-HYBRID PDK 462HK PASM SPORTCHRONO BOSE®,Porsche,Panamera 4,Unknown,462
7466,,Stockholm,2018,Bensin,10642,Automat,249700,Seat Leon CUPRA ST 2.0 TSI 4DRIVE 300HK SEAT DRIVE DCC,Seat,Leon CUPRA,2.0,300
7467,,Stockholm,2016,Diesel,12917,Automat,219700,Volkswagen Touareg 3.0 V6 TDI SCR 4M 204HK DRAG PVÄRM LÄDER,Volkswagen,Touareg 3,6,204
7468,,Stockholm,2019,Bensin,13881,Automat,639700,Porsche Cayenne S AWD SPORTCHRONO+ 440HK PASM PANORAMA BOSE®,Porsche,Cayenne S,Unknown,440
7470,,Stockholm,2015,Diesel,16752,Automat,169700,Volkswagen Passat SPORTSCOMBI 2.0 TDI 4MOTION 190HK P-VÄRME,Volkswagen,Passat SPORTSCOMBI,2.0,190
7472,,Stockholm,2015,Bensin,4738,Automat,124700,Hyundai i20 1.4 101HK LÅGMILAD RATTVÄRME LANE-ASSIST P-SENS,Hyundai,i20 1,Unknown,101
7473,,Skåne,2023,Bensin,1,Automat,3525590,Mercedes-Benz Maybach S680 Night Series,Mercedes-Benz,Maybach S680,Unknown,Unknown
7474,,Göteborg,2023,El,588,Automat,589900,"Hyundai IONIQ 5 77.4 kWh Advanced Komfort+ 20""-Fälgar, MOMS",Hyundai,IONIQ 5,Unknown,Unknown
7475,,Göteborg,2017,Bensin,5976,Automat,379900,"Mercedes-Benz E 200 Coupé AMG, Panorama, Minnesstolar 184hk",Mercedes-Benz,E 200,Unknown,184
7476,,Göteborg,2022,El,3500,Automat,699900,"BMW i4 M50 xDrive, Cockpit Plus, Adaptivt Chassi 544hk",BMW,i4 M50,Unknown,544
7478,,Jönköping,2012,Diesel,15245,Manuell,59900,Volkswagen Caddy 1.6 TDI Euro 5,Volkswagen,Caddy 1,1.6,Unknown
7479,,Gävleborg,2013,Bensin,13450,Automat,359000,Mercedes-Benz C 63 AMG T Speedshift MCT 575hk / Kleemann,Mercedes-Benz,C 63,Unknown,575
7480,,Göteborg,2023,Diesel,1500,Automat,564900,Mercedes-Benz C 220 D 4M KOMBI ALL-TERRAIN | PREMIUM,Mercedes-Benz,C 220,Unknown,Unknown
7481,,Göteborg,2024,Diesel,1699,Automat,799900,Mercedes-Benz E 220 d SEDAN | AMG | PANO | DRAG | VÄRM,Mercedes-Benz,E 220,Unknown,Unknown
7482,,Göteborg,2024,El,1499,Automat,829900,Mercedes-Benz EQE 350 4M | DEMO | AMG | DRAG | EL STOL,Mercedes-Benz,EQE 350,Unknown,Unknown
7483,,Göteborg,2023,Diesel,950,Automat,564900,Mercedes-Benz C 220 d 4MATIC All-Terrain Premium |Drag,Mercedes-Benz,C 220,Unknown,Unknown
